rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis
24;América-MG;Palmeiras;2;1;61%;39%;27;14;6;5;12;7;9;2;22;18;8;5;1;2;31;14;4;4;14;17;2;3;436;296;11;22;128;73;72;24;;
24;Fluminense;Fortaleza;0;2;54%;46%;8;10;3;4;4;4;1;2;16;14;5;4;1;0;13;23;2;3;13;16;2;2;461;401;26;19;137;96;49;38;;
24;Grêmio;Cuiabá;2;2;62%;38%;20;5;7;2;8;2;5;1;15;24;7;3;0;1;17;23;0;5;15;10;2;3;572;361;18;23;157;116;73;25;;
24;Red Bull Bragantino;Flamengo;1;1;43%;57%;13;11;4;3;6;5;3;3;20;14;10;4;1;1;25;16;2;3;13;20;1;3;325;441;11;14;92;103;40;36;;
24;Atlético-GO;Athletico-PR;0;2;60%;40%;15;12;3;4;3;0;9;8;18;13;11;7;2;1;23;13;2;3;12;16;3;3;486;320;14;14;114;74;90;46;;
24;Ceará;Internacional;0;0;49%;51%;16;9;5;1;10;4;1;4;17;24;9;5;1;1;23;22;1;5;22;16;5;2;339;372;17;18;97;111;55;39;;
24;Chapecoense;Atlético-MG;2;2;34%;66%;10;16;4;5;3;4;3;7;19;12;4;11;1;3;23;22;3;2;12;17;2;1;280;551;17;10;92;127;30;53;;
24;Sport;Juventude;3;1;45%;55%;14;9;8;1;6;4;0;4;14;10;0;6;1;1;10;19;0;5;11;11;2;2;467;568;12;8;116;108;31;41;;
24;Corinthians;Bahia;3;1;71%;29%;21;3;11;2;5;1;5;0;17;13;7;0;0;0;16;18;1;8;14;18;0;2;733;291;10;14;136;92;68;38;0;1
23;Grêmio;Sport;1;2;65%;35%;22;9;7;6;12;3;3;0;18;21;11;2;0;0;28;10;4;6;21;18;2;1;522;294;14;14;152;85;89;19;;
23;Palmeiras;Juventude;1;1;73%;27%;15;10;3;4;7;3;5;3;14;22;8;2;3;1;16;22;3;2;19;13;1;1;597;211;13;13;152;51;36;30;;
23;Chapecoense;São Paulo;1;1;38%;62%;5;17;2;8;2;6;1;3;14;13;7;7;1;3;19;20;7;1;11;11;1;1;347;571;13;16;95;126;32;56;;
23;Flamengo;Athletico-PR;3;0;72%;28%;11;9;4;2;6;3;1;4;12;15;2;3;1;2;22;19;2;1;13;14;2;2;778;294;26;15;170;60;71;32;;
23;Atlético-MG;Internacional;1;0;56%;44%;10;6;3;4;6;2;1;0;16;18;7;6;2;1;15;14;4;2;16;15;4;2;472;372;18;12;116;107;55;43;;
23;Red Bull Bragantino;Corinthians;2;2;38%;62%;15;11;5;7;8;3;2;1;6;10;6;8;1;1;16;16;5;3;10;6;;;349;595;13;10;83;121;43;65;;
23;Cuiabá;América-MG;0;2;53%;47%;14;9;3;2;7;4;4;3;25;15;4;3;0;2;23;22;0;3;13;20;1;2;372;327;19;14;97;81;37;47;;
23;Fortaleza;Atlético-GO;0;3;68%;32%;14;6;4;5;7;1;3;0;21;19;10;4;4;1;16;15;2;4;14;20;1;4;462;220;15;10;121;45;69;30;;
22;Atlético-GO;Cuiabá;0;0;57%;43%;16;6;3;2;9;2;4;2;18;11;8;4;1;2;23;19;2;3;10;16;1;4;395;312;14;25;111;90;61;43;;
22;Athletico-PR;Grêmio;4;2;54%;46%;16;15;5;7;7;5;4;3;18;17;3;7;0;0;18;22;5;1;17;18;1;5;516;437;14;17;123;98;33;46;;
22;Sport;Fortaleza;0;1;57%;43%;18;15;5;7;8;4;5;4;14;21;3;3;2;0;23;18;6;5;19;14;5;2;454;358;11;17;153;93;60;29;;
22;Fluminense;Red Bull Bragantino;2;1;44%;56%;16;7;6;4;4;2;6;1;19;13;4;2;2;0;31;16;3;4;11;19;2;2;404;521;17;17;82;128;49;29;;
22;Internacional;Bahia;2;0;58%;42%;12;15;7;2;1;10;4;3;15;19;8;7;0;0;21;21;2;5;19;15;2;2;504;345;20;14;113;122;49;64;;
22;Juventude;Santos;3;0;37%;63%;6;19;4;3;0;9;2;7;17;18;2;5;2;1;20;27;3;1;15;16;3;0;322;535;16;18;93;115;20;72;;
22;América-MG;Flamengo;1;1;43%;57%;15;9;2;5;8;3;5;1;13;13;6;6;5;2;16;20;4;1;9;12;1;1;373;503;24;15;88;131;54;55;;
22;São Paulo;Atlético-MG;0;0;49%;51%;7;11;0;4;3;4;4;3;13;13;3;5;0;1;16;20;4;0;14;12;1;1;497;507;16;8;113;113;37;26;;
22;Corinthians;Palmeiras;2;1;49%;51%;8;16;3;5;1;9;4;2;14;10;5;9;2;3;22;25;4;1;8;11;1;1;418;426;19;20;84;118;34;38;;
22;Ceará;Chapecoense;1;0;58%;42%;24;9;8;1;11;5;5;3;18;9;8;5;1;1;22;13;1;7;8;18;0;4;485;342;12;7;111;91;48;27;0;1
19;São Paulo;América-MG;0;0;58%;42%;6;9;2;4;3;4;1;1;22;21;8;3;4;5;30;15;4;2;17;18;3;1;452;321;18;16;124;106;39;37;;
21;Cuiabá;Fluminense;2;2;58%;42%;7;12;3;5;2;5;2;2;17;16;1;5;1;2;20;21;3;1;15;16;2;2;476;334;10;12;117;81;53;33;1;0
21;Flamengo;Grêmio;0;1;62%;38%;9;11;1;5;6;5;2;1;17;16;2;4;2;0;16;9;4;1;16;17;3;4;532;334;10;26;142;88;48;37;;
21;Corinthians;América-MG;1;1;65%;35%;15;16;8;7;6;5;1;4;14;8;5;2;1;1;25;16;6;7;8;13;1;0;654;349;17;18;123;129;61;39;1;0
21;São Paulo;Atlético-GO;2;1;52%;48%;13;11;5;4;8;5;0;2;13;19;8;6;1;1;23;23;3;3;18;11;1;2;442;411;19;12;128;95;50;37;;
21;Internacional;Fortaleza;1;0;59%;41%;18;11;5;5;6;4;7;2;17;13;8;4;2;1;24;18;5;4;12;15;3;1;496;358;12;14;114;93;55;23;1;1
21;Bahia;Red Bull Bragantino;1;1;41%;59%;13;15;3;5;6;5;4;5;12;16;4;2;0;0;27;10;4;2;16;13;1;4;354;528;19;15;96;133;37;38;;
21;Ceará;Santos;0;0;51%;49%;10;7;4;1;5;4;1;2;13;15;6;4;0;0;22;28;1;4;17;13;3;2;391;389;17;7;114;133;58;62;;
21;Atlético-MG;Sport;3;0;60%;40%;22;7;9;1;9;5;4;1;16;19;6;4;0;3;17;14;1;6;18;13;2;3;558;362;21;14;126;79;39;21;;
21;Athletico-PR;Juventude;2;1;60%;40%;27;15;7;3;15;9;5;3;6;17;9;3;0;0;16;18;2;5;18;7;5;1;476;337;11;16;130;66;52;30;0;1
21;Chapecoense;Palmeiras;0;2;53%;47%;15;13;3;7;7;6;5;0;15;17;8;1;1;1;12;21;5;3;16;14;2;2;461;416;14;13;100;91;61;32;;
20;Sport;Internacional;0;1;51%;49%;14;11;3;4;7;5;4;2;21;23;5;4;2;1;16;20;3;3;21;20;4;1;434;449;9;22;110;129;55;32;;
20;Fluminense;São Paulo;2;1;42%;58%;8;8;5;7;1;1;2;0;18;15;4;5;0;3;21;20;6;3;16;16;5;4;309;417;16;22;82;115;26;40;;
20;Atlético-GO;Corinthians;1;1;51%;49%;11;8;5;2;4;3;2;3;12;12;4;5;2;2;18;23;1;4;10;10;4;2;481;444;11;17;115;85;51;38;;
20;Fortaleza;Atlético-MG;0;2;49%;51%;14;11;4;4;5;6;5;1;19;14;5;4;1;1;14;23;2;4;14;18;1;2;452;487;13;17;145;126;40;49;;
20;Palmeiras;Flamengo;1;3;58%;42%;12;11;5;4;5;3;2;4;16;16;7;4;2;1;28;15;1;4;14;15;0;2;500;374;15;15;131;100;73;22;1;0
20;Grêmio;Ceará;2;0;41%;59%;13;8;3;1;8;5;2;2;9;22;5;4;0;0;22;23;1;1;22;9;;;354;506;30;17;85;107;44;34;;
20;Santos;Bahia;0;0;65%;35%;10;13;1;3;6;7;3;3;20;15;5;1;0;0;25;23;3;1;16;20;1;4;569;306;10;12;148;88;61;27;;
20;Red Bull Bragantino;Chapecoense;1;2;55%;45%;12;22;5;6;5;11;2;5;13;19;3;6;2;1;18;15;4;4;17;13;4;2;501;387;7;10;109;105;42;46;1;0
20;Juventude;Cuiabá;1;2;62%;38%;17;3;6;1;4;1;7;1;14;16;5;0;4;1;21;15;0;5;12;13;3;6;560;349;11;12;145;96;72;23;0;1
20;América-MG;Athletico-PR;2;0;55%;45%;27;7;6;1;10;3;11;3;18;17;9;5;3;1;24;11;1;4;14;17;1;1;422;346;12;12;116;84;66;33;;
19;Chapecoense;Fluminense;1;2;54%;46%;11;9;3;2;6;4;2;3;4;19;8;4;1;0;33;17;0;2;18;4;;;525;441;20;13;119;100;54;37;;
19;Corinthians;Juventude;1;1;59%;41%;11;12;2;7;5;4;4;1;21;15;2;2;0;1;25;18;6;1;15;20;3;4;626;429;6;21;130;109;34;47;;
19;Athletico-PR;Sport;0;0;57%;43%;16;9;3;2;8;6;5;1;16;15;9;7;2;3;17;25;2;3;10;9;1;3;468;347;17;6;130;79;58;29;0;1
19;Bahia;Fortaleza;4;2;41%;59%;13;18;8;6;4;8;1;4;5;28;6;4;2;0;19;23;4;4;25;7;3;1;313;466;16;11;85;147;35;45;;
19;Cuiabá;Santos;2;1;36%;64%;14;18;5;5;5;10;4;3;12;11;3;5;0;1;14;24;4;3;11;11;3;1;331;554;13;20;87;132;34;71;;
14;Fluminense;Juventude;1;1;64%;36%;12;7;6;2;4;5;2;0;19;24;7;2;1;1;26;15;1;5;23;18;2;1;579;330;10;11;145;72;52;21;;
18;Fortaleza;Cuiabá;0;0;64%;36%;19;11;4;5;9;5;6;1;18;17;7;4;2;2;18;12;5;4;15;17;2;5;536;307;17;8;144;91;56;24;;
18;Fluminense;Bahia;2;0;49%;51%;6;10;4;2;1;5;1;3;24;21;3;8;2;3;8;27;2;2;19;21;2;4;395;399;11;15;90;123;30;53;;
18;Red Bull Bragantino;Atlético-MG;1;1;33%;67%;5;26;0;8;3;9;2;9;19;16;1;17;1;1;16;18;7;0;16;18;3;4;333;653;18;15;75;138;20;80;;
18;Atlético-GO;Internacional;0;0;52%;48%;8;7;3;3;3;3;2;1;15;17;6;6;3;1;25;36;3;3;13;15;1;2;432;398;15;11;110;100;46;50;;
18;Juventude;São Paulo;1;1;39%;61%;9;7;2;4;6;2;1;1;24;15;3;8;0;3;11;28;3;2;15;21;2;5;290;461;16;10;105;112;69;43;;
18;América-MG;Ceará;2;0;38%;62%;19;6;4;2;6;1;9;3;13;22;9;2;2;1;19;24;2;2;19;13;1;2;284;480;23;18;94;124;57;50;;
18;Grêmio;Corinthians;0;1;45%;55%;11;6;2;1;8;3;1;2;7;17;6;4;0;0;17;19;0;2;17;7;1;2;461;593;17;7;110;95;57;15;1;0
18;Palmeiras;Athletico-PR;2;1;49%;51%;16;11;3;4;9;5;4;2;16;15;8;3;4;1;19;18;3;1;10;16;3;0;461;481;15;12;100;105;47;35;;
18;Santos;Flamengo;0;4;49%;51%;11;18;2;11;6;6;3;1;16;16;4;5;3;2;12;15;7;2;14;14;4;4;445;461;10;11;83;96;42;54;;
18;Sport;Chapecoense;0;0;55%;45%;20;15;7;2;5;9;8;4;20;18;11;6;1;2;26;18;2;7;17;17;2;1;416;353;14;12;123;83;58;49;1;0
17;América-MG;Red Bull Bragantino;0;2;50%;50%;14;10;3;3;5;3;6;4;17;16;9;0;2;2;36;10;1;3;14;15;2;0;438;444;10;26;144;94;67;20;;
17;Fluminense;Atlético-MG;1;1;35%;65%;9;19;3;7;3;7;3;5;17;18;6;6;3;1;12;19;6;2;15;17;3;3;310;600;14;16;87;133;26;64;;
17;Sport;São Paulo;0;1;48%;52%;14;12;4;3;3;6;7;3;24;17;3;7;0;0;31;20;2;4;15;17;2;2;381;422;7;24;107;111;40;51;;
17;Santos;Internacional;2;2;52%;48%;10;13;4;4;4;6;2;3;15;22;4;4;2;1;13;30;2;2;19;14;2;2;438;406;15;12;119;96;53;36;;
17;Athletico-PR;Corinthians;0;1;44%;56%;16;8;4;2;9;5;3;1;9;13;4;2;1;1;26;23;1;4;12;7;1;0;458;592;15;11;133;112;56;48;1;0
17;Ceará;Flamengo;1;1;37%;63%;12;18;5;5;6;8;1;5;11;14;4;5;1;0;21;21;4;4;13;12;0;2;339;580;21;27;110;143;39;70;;
17;Palmeiras;Cuiabá;0;2;66%;34%;31;9;7;4;12;5;12;0;17;13;13;3;4;3;18;15;2;7;8;14;1;1;543;302;14;14;152;80;98;21;;
