rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Passes completados_man;Passes completados_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis
15;Tondela;Ferreira;0;1;59%;41%;12;9;9;5;3;3;0;1;;;7;6;0;2;;;4;9;9;18;2;4;418;350;;;12;7;94;104;30;32;;;;
15;Estoril;Famalicao;2;2;63%;37%;11;7;4;3;5;3;2;1;;;7;2;2;2;;;1;2;11;18;3;5;470;281;;;10;17;103;80;61;30;;;;
15;Santa Clara;Vitória SC;1;0;47%;53%;15;10;6;2;6;6;3;2;;;8;2;8;3;;;2;5;12;16;2;3;344;435;;;11;19;88;110;32;43;;;;
14;Arouca;Vizela;1;4;57%;43%;15;10;2;4;7;4;6;2;;;6;4;2;1;;;1;1;11;18;2;4;458;353;;;9;18;146;89;78;19;;;;
14;FC Porto;Braga;1;0;46%;54%;20;7;4;1;11;6;5;0;;;6;3;2;1;;;1;3;12;14;3;5;447;421;;;22;13;127;92;60;27;;;;
14;Famalicao;Benfica;1;4;42%;58%;13;6;2;4;5;2;6;0;;;5;2;2;3;;;0;1;14;13;2;2;371;564;;;21;20;112;96;42;28;;;;
14;BSAD;Estoril;0;1;41%;59%;7;21;0;7;3;10;4;4;;;0;14;0;4;;;6;0;11;10;2;1;393;493;;;9;5;66;107;18;67;;;;
14;Moreirense;Portimonense;0;1;43%;57%;11;7;4;4;4;2;3;1;;;6;1;2;2;;;3;4;14;16;2;2;366;355;;;14;11;127;81;48;20;;;;
14;Sporting;Boavista;2;0;59%;41%;19;4;6;2;8;2;5;0;;;10;3;5;1;;;2;4;12;16;0;1;521;336;;;12;15;120;81;48;27;;;;
14;Vitória SC;Tondela;5;2;56%;44%;18;8;10;3;6;3;2;2;;;0;8;0;1;;;1;5;21;18;3;4;432;409;;;12;12;110;80;43;25;0;1;;
14;Maritimo;Santa Clara;4;1;54%;46%;9;10;4;3;3;4;2;3;;;4;2;1;3;;;2;0;15;15;1;3;424;406;;;12;9;99;81;40;24;;;;
14;Ferreira;Gil Vicente;0;1;43%;57%;11;13;2;5;5;5;4;3;;;7;5;2;1;;;4;2;17;10;3;2;341;519;;;17;7;91;122;46;53;;;;
13;Braga;Estoril;2;0;51%;49%;14;11;4;5;6;4;4;2;;;2;7;1;4;;;5;2;15;19;6;3;470;431;;;15;16;112;88;37;43;1;0;;
13;Gil Vicente;Famalicao;4;0;58%;42%;18;9;10;1;3;5;5;3;;;4;1;1;6;;;1;6;16;11;3;3;455;324;;;20;19;113;89;41;34;;;;
13;Santa Clara;Arouca;2;1;48%;52%;5;13;4;4;1;5;0;4;;;1;8;4;0;;;3;2;16;16;4;4;338;431;;;16;15;63;124;26;39;;;;
13;Ferreira;Vitória SC;1;2;43%;57%;7;17;3;8;4;6;0;3;;;4;6;4;1;;;6;2;12;17;2;4;272;376;;;18;15;99;99;35;42;;;;
13;Boavista;Maritimo;1;1;39%;61%;6;10;4;3;2;2;0;5;;;2;6;2;1;;;2;3;23;14;4;6;285;453;;;27;14;86;138;42;58;1;1;;
13;Benfica;Sporting;1;3;65%;35%;11;14;3;5;5;7;3;2;;;3;3;4;3;;;2;2;15;19;3;6;482;243;;;19;17;134;79;74;33;;;;
13;Portimonense;FC Porto;0;3;38%;62%;7;23;4;6;2;9;1;8;;;3;6;1;0;;;3;4;11;14;3;1;358;536;;;7;21;82;135;28;53;;;;
12;Braga;Vizela;4;1;55%;45%;17;8;9;2;6;5;2;1;;;10;1;1;0;;;1;5;11;10;1;0;565;491;;;17;16;119;110;53;28;;;;
12;Estoril;Santa Clara;2;2;56%;44%;11;10;7;5;1;4;3;1;;;4;3;1;0;;;3;5;11;15;2;2;525;364;;;14;12;137;79;52;36;;;;
12;FC Porto;Vitória SC;2;1;75%;25%;17;9;9;2;5;5;3;2;;;5;2;3;2;;;1;7;16;15;2;6;637;257;;;15;23;50;26;22;14;0;1;;
12;Sporting;Tondela;2;0;62%;38%;14;5;8;1;2;3;4;1;;;1;4;4;4;;;1;6;16;10;3;3;665;404;;;21;17;146;67;47;22;;;;
12;Maritimo;Ferreira;2;0;47%;53%;9;16;4;3;3;7;2;6;;;2;8;3;2;;;3;2;15;19;2;3;395;394;;;21;14;108;124;27;43;;;;
12;BSAD;Benfica;0;7;27%;73%;0;17;0;11;0;2;0;4;;;2;4;0;1;;;4;0;2;3;;;63;295;;;3;7;8;86;3;75;;;;
12;Arouca;Boavista;2;1;56%;44%;8;13;6;2;2;6;0;5;;;2;1;2;2;;;1;4;14;23;3;4;411;367;;;12;19;136;80;59;22;;;;
12;Famalicao;Portimonense;0;3;53%;47%;20;6;2;2;10;2;8;2;;;8;3;2;3;;;0;2;17;10;1;3;408;360;;;20;17;108;91;60;32;;;;
12;Moreirense;Gil Vicente;2;2;45%;55%;15;14;4;8;7;4;4;2;;;5;5;2;0;;;6;2;19;13;3;5;303;484;;;12;11;98;106;35;60;;;;
11;Benfica;Braga;6;1;55%;45%;12;8;9;4;1;0;2;4;;;2;6;8;2;;;3;3;13;12;3;2;647;393;;;12;24;121;83;43;31;;;;
11;Ferreira;Sporting;0;2;41%;59%;9;20;1;8;3;8;5;4;;;4;10;1;2;;;6;1;14;12;2;0;342;454;;;8;11;95;114;29;38;;;;
11;Santa Clara;FC Porto;0;3;29%;71%;3;23;1;10;1;7;1;6;;;1;8;2;2;;;7;1;13;14;3;2;232;553;;;21;20;60;147;20;88;1;0;;
11;Tondela;Maritimo;4;2;49%;51%;15;20;7;11;5;6;3;3;;;3;4;1;6;;;9;3;22;24;3;8;300;377;;;13;12;66;111;23;57;0;1;;
11;Vitória SC;Moreirense;2;1;52%;48%;11;20;5;8;2;8;4;4;;;5;9;2;1;;;7;3;13;10;2;1;440;344;;;16;14;109;117;42;41;;;;
11;Portimonense;BSAD;2;0;50%;50%;14;17;6;4;3;8;5;5;;;6;5;4;1;;;4;4;21;13;5;4;409;390;;;8;13;92;101;37;45;;;;
11;Vizela;Estoril;1;1;45%;55%;12;8;3;6;6;2;3;0;;;3;1;0;1;;;5;2;13;16;2;3;388;441;;;14;10;89;80;30;43;;;;
