rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Passes completados_man;Passes completados_vis;Acerto de passes_man;Acerto de passes_vis
29;Leverkusen;Köln;3;0;42%;58%;8;14;5;2;3;12;13;12;2;3;1;1;22;26;2;2;12;12;1;1;367;502;86;118;23;59;;;;;;;;
29;Augsburg;Bielefeld;0;0;50%;50%;9;8;3;1;6;7;10;10;7;3;0;2;24;30;1;3;10;9;4;1;429;407;91;109;39;52;;;;;;;;
29;Freiburg;Schalke;4;0;56%;44%;13;4;8;2;5;2;10;20;3;4;3;0;30;18;2;4;15;12;2;1;479;355;76;62;49;20;;;;;;;;
29;Monchengladbach;Frankfurt;4;0;41%;59%;19;16;4;5;15;11;12;14;7;8;3;2;14;11;5;0;11;10;2;4;312;559;80;109;44;48;;;;;;;;
29;Union Berlin;Stuttgart;2;1;45%;55%;9;9;4;2;5;7;16;17;4;4;2;3;22;21;1;2;15;12;2;3;409;518;101;122;39;24;;;;;;;;
29;Wolfsburg;Bayern;2;3;48%;52%;7;14;3;9;4;5;9;21;6;5;5;1;25;25;6;1;16;8;2;1;480;535;135;151;43;52;;;;;;;;
29;RB Leipzig;Hoffenheim;0;0;59%;41%;14;6;2;0;12;6;15;19;4;1;5;2;24;15;0;2;14;13;0;2;673;379;167;82;60;36;;;;;;;;
28;Hoffenheim;Leverkusen;0;0;51%;49%;2;7;0;5;2;2;15;16;1;1;1;3;28;27;5;0;14;12;1;1;479;591;105;140;42;50;;;;;;;;
28;Köln;Mainz;2;3;62%;38%;22;9;4;6;18;3;15;15;2;5;1;1;26;17;3;2;14;14;2;1;515;306;120;96;44;35;;;;;;;;
28;Schalke;Augsburg;1;0;45%;55%;7;13;2;4;5;9;17;12;4;6;2;3;17;25;4;1;10;14;0;2;414;515;86;145;24;63;;;;;;;;
28;Stuttgart;Dortmund;2;3;50%;50%;13;18;3;7;10;11;12;12;3;8;0;0;17;15;4;1;13;11;4;2;503;498;108;126;35;53;;;;;;;;
28;Bayern;Union Berlin;1;1;58%;42%;14;6;2;2;12;4;15;12;8;1;1;3;21;18;1;1;10;12;2;0;608;404;155;93;56;37;;;;;;;;
28;Bremen;RB Leipzig;1;4;39%;61%;11;8;2;4;9;4;17;15;2;2;2;5;13;15;0;1;13;10;;;346;628;102;126;25;28;;;;;;;;
28;Frankfurt;Wolfsburg;4;3;44%;56%;9;20;5;7;4;13;14;12;3;7;1;1;23;28;4;1;11;13;3;2;355;413;78;131;39;56;;;;;;;;
28;Hertha;Monchengladbach;2;2;57%;43%;24;7;8;4;16;3;19;13;11;3;1;3;17;7;2;6;12;17;2;1;560;347;123;79;80;18;0;1;;;;;;
28;Bielefeld;Freiburg;1;0;46%;54%;14;10;4;2;10;8;11;9;4;2;1;1;33;22;2;3;8;10;3;2;352;455;131;86;51;36;;;;;;;;
27;Union Berlin;Hertha;1;1;69%;31%;11;4;2;1;9;3;16;14;2;3;2;4;27;21;0;1;13;12;2;4;535;359;145;76;52;22;;;;;;;;
27;Stuttgart;Bremen;1;0;58%;42%;14;9;3;2;11;7;11;10;6;0;2;2;25;22;2;2;8;8;1;2;595;401;139;116;51;43;;;;;;;;
